14-01-2022 14:55:44 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):8944
14-01-2022 14:58:40 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):850
14-01-2022 14:59:18 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9057
14-01-2022 15:23:38 || 192.168.8.112 || LINUX || Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 || Wynik(ms):35562
14-01-2022 15:24:56 || 192.168.8.112 || LINUX || Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 || Wynik(ms):35570
14-01-2022 15:26:57 || 192.168.8.112 || LINUX || Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 || Wynik(ms):18666
14-01-2022 15:27:23 || 192.168.8.112 || LINUX || Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 || Wynik(ms):18075
14-01-2022 15:31:57 || 192.168.8.112 || LINUX || Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 || Wynik(ms):23362
14-01-2022 15:33:20 || 192.168.8.112 || LINUX || Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 || Wynik(ms):30609
14-01-2022 15:34:16 || 192.168.8.112 || LINUX || Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 || Wynik(ms):19997
14-01-2022 15:35:15 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9300
14-01-2022 15:35:30 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9949
14-01-2022 15:36:06 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9119
14-01-2022 15:38:23 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9050
14-01-2022 15:39:45 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9012
14-01-2022 15:41:43 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9112
14-01-2022 15:42:50 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9109
14-01-2022 15:50:43 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):874
14-01-2022 15:55:36 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):843
14-01-2022 15:56:56 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):832
14-01-2022 15:57:41 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9158
14-01-2022 15:58:56 || 192.168.8.112 || LINUX || Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 || Wynik(ms):18273
